# AKTEMP | Alaska Stream Temperature Database
# https://aktemp.uaa.alaska.edu
#
# File Type: Continuous Timeseries Daily Values and Discrete Values
# Created: 10/28/2024 11:40 AM AKDT
#
# Suggested Citation (note: open this file in a text editor like Notepad if Excel does not display the citation correctly):
#   "Alaska Water Temperature Database (AKTEMP) (2024). Water temperature data collected by USFWS - Alaska Region Office of Subsistence Management. Retrieved from https://aktemp.uaa.alaska.edu on Oct 28, 2024."
#
# ------------------------------------------------------------------------------
# Providers Table
#
provider_code,provider_name
USFWS_AlaskaOSM,USFWS - Alaska Region Office of Subsistence Management
#
# ------------------------------------------------------------------------------
# Stations Table
#
#     station_id: Station ID
#     provider_code: Provider Code
#     code: Station Code
#     latitude: Latitude (WGS84)
#     longitude: Longitude (WGS84)
#     timezone: Local timezone
#     description: Station Description
#     waterbody_name: Waterbody name
#     waterbody_type: Waterbody type
#     placement: Placement
#     mixed: Fully mixed
#     active: Active station
#     reference: Reference URL
#     private: Private
#     series_count: Number of timeseries
#     series_start_datetime: First timeseries timestamp (local timezone)
#     series_end_datetime: Last timeseries timestamp (local timezone)
#     series_count_days: Number of days between first and last timeseries dates
#     profiles_count: Number of vertical profiles
#     profiles_start_date: First date of vertical profiles (local timezone)
#     profiles_end_date: Last date of vertical profiles (local timezone)
#
station_id,provider_code,code,latitude,longitude,timezone,description,waterbody_name,waterbody_type,placement,mixed,active,reference,private,series_count,series_start_datetime,series_end_datetime,series_count_days,profiles_count,profiles_start_date,profiles_end_date
313,USFWS_AlaskaOSM,OSM_Klag,57.64018,-136.08064,US/Alaska,Lake outlet stream,Klag Lake outflow,STREAM,OUTLET,true,false,,false,2,12/31/2009 23:00,9/9/2022 13:00,4635,0,,
#
# ------------------------------------------------------------------------------
# Timeseries Metadata
#
#     series_id: Timeseries ID
#     provider_code: Provider Code
#     station_id: Station ID
#     station_code: Station Code
#     station_timezone: Station Timezone
#     start_datetime: Start Timestamp (local timezone)
#     end_datetime: End Timestamp (local timezone)
#     interval: Interval (Continuous or Discrete)
#     frequency: Frequency (minutes)
#     depth_category: Depth category
#     depth_m: Depth (m)
#     sop_bath: Sensor checked using Pre/Post Bath according to SOP
#     accuracy: Sensor Accuracy Level (1: < 0.25 degC (best); 2: < 0.5 degC; 3: > 0.5 degC (worst))
#     reviewed: QAQC Review Complete
#
series_id,provider_code,station_id,station_code,station_timezone,start_datetime,end_datetime,interval,frequency,depth_category,depth_m,sop_bath,accuracy,reviewed
309,USFWS_AlaskaOSM,313,OSM_Klag,US/Alaska,12/31/2009 23:00,9/10/2019 09:00,CONTINUOUS,60,,,true,1,true
#
# ------------------------------------------------------------------------------
# Continuous Timeseries Daily Values
#
#     This table contains daily statistics (min/mean/max) of observed water temperature
#     for each continuous timeseries. QAQC flags are also aggregated to daily timesteps.
#     If one or more measurements during a single day were flagged then that flag is
#     assigned to the entire day. If more than one type of flag occurred in a single day
#     then the unique flag labels are combined into a comma-separated list.
#
#     series_id: Series ID
#     date: Date (local timezone)
#     n_values: Number of measurements
#     min_temp_c: Minimum temperature (degC)
#     mean_temp_c: Mean temperature (degC)
#     max_temp_c: Maximum temperature (degC)
#     flag: QAQC flag(s)
#
series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
309,2009-12-31,1,0.74,0.74,0.74,
309,2010-01-01,24,0.69,0.755,0.88,
309,2010-01-02,24,0.63,0.7295833,0.77,
309,2010-01-03,24,0.74,0.8408333,1.02,
309,2010-01-04,24,0.69,0.81,0.93,
309,2010-01-05,24,0.8,0.94416666,1.13,
309,2010-01-06,24,1.02,1.3520833,1.48,
309,2010-01-07,24,1.48,1.5670834,1.64,
309,2010-01-08,24,1.45,1.5129167,1.56,
309,2010-01-09,24,1.51,1.6341667,1.72,
309,2010-01-10,24,1.64,1.7275,1.78,
309,2010-01-11,24,1.64,1.6875,1.72,
309,2010-01-12,24,1.72,1.85,1.94,
309,2010-01-13,24,1.89,1.9291667,1.99,
309,2010-01-14,24,1.89,2.0029166,2.1,
309,2010-01-15,24,1.72,1.8425,1.94,
309,2010-01-16,24,1.89,2.02375,2.07,
309,2010-01-17,24,2.07,2.1495833,2.18,
309,2010-01-18,24,2.02,2.0633333,2.13,
309,2010-01-19,24,1.75,1.8804166,2.05,
309,2010-01-20,24,1.81,2.1329167,2.37,
309,2010-01-21,24,2.16,2.2708333,2.4,
309,2010-01-22,24,1.99,2.1220834,2.26,
309,2010-01-23,24,2.07,2.1679168,2.32,
309,2010-01-24,24,1.04,1.57125,1.99,
309,2010-01-25,24,0.58,0.96583337,1.13,
309,2010-01-26,24,0.36,0.5466667,0.8,
309,2010-01-27,24,0.8,1.1529167,1.56,
309,2010-01-28,24,1.56,2.0079167,2.48,
309,2010-01-29,24,1.94,2.2341666,2.64,
309,2010-01-30,24,2.69,3.05,3.35,
309,2010-01-31,24,3.17,3.3275,3.62,
309,2010-02-01,24,2.9,3.15625,3.41,
309,2010-02-02,24,2.85,3.14125,3.38,
309,2010-02-03,24,2.85,3.0570834,3.3,
309,2010-02-04,24,2.56,2.8695834,3.14,
309,2010-02-05,24,3.09,3.3891666,3.7,
309,2010-02-06,24,3.7,3.9308333,4.09,
309,2010-02-07,24,4.04,4.1741667,4.35,
309,2010-02-08,24,3.51,3.8866668,4.04,
309,2010-02-09,24,3.12,3.3345833,3.54,
309,2010-02-10,24,2.9,3.0533333,3.2,
309,2010-02-11,24,2.8,3.0554166,3.33,
309,2010-02-12,24,2.85,3.1895833,3.54,
309,2010-02-13,24,3.12,3.4225001,3.67,
309,2010-02-14,24,3.38,3.49375,3.59,
309,2010-02-15,24,3.3,3.5408335,3.75,
309,2010-02-16,24,3.59,3.6908333,3.83,
309,2010-02-17,24,3.62,3.7104166,3.85,
309,2010-02-18,24,3.17,3.5408332,3.91,
309,2010-02-19,24,3.04,3.3445833,3.7,
309,2010-02-20,24,2.9,3.2191668,3.64,
309,2010-02-21,24,3.01,3.37,3.75,
309,2010-02-22,24,3.3,3.59625,4.01,
309,2010-02-23,24,3.56,4.036667,4.61,
309,2010-02-24,24,3.96,4.2833333,4.79,
309,2010-02-25,24,4.17,4.5245833,5.05,
309,2010-02-26,24,4.04,4.5433335,5.23,
309,2010-02-27,24,3.8,4.202083,4.48,
309,2010-02-28,24,4.27,4.41375,4.58,
309,2010-03-01,24,4.43,4.645,4.9,
309,2010-03-02,24,4.43,4.786667,5.28,
309,2010-03-03,24,3.75,4.2295833,4.64,
309,2010-03-04,24,3.17,3.45875,3.72,
309,2010-03-05,24,2.26,2.6983333,3.2,
309,2010-03-06,24,2.42,2.5358334,2.72,
309,2010-03-07,24,2.42,2.6216667,2.88,
309,2010-03-08,24,1.97,2.1495833,2.37,
309,2010-03-09,24,2.07,2.185,2.32,
309,2010-03-10,24,1.56,2.0245833,2.37,
309,2010-03-11,24,1.94,2.2266667,2.56,
309,2010-03-12,24,0.91,1.7895833,2.13,
309,2010-03-13,24,1.75,1.9983333,2.26,
309,2010-03-14,23,2.1,2.5365217,3.04,
309,2010-03-15,24,2.5,2.8775,3.3,
309,2010-03-16,24,2.82,3.32625,3.96,
309,2010-03-17,24,3.33,3.6441667,4.06,
309,2010-03-18,24,3.54,4.0208335,4.64,
309,2010-03-19,24,3.83,3.9945834,4.17,
309,2010-03-20,24,3.62,4.2654166,5.05,
309,2010-03-21,24,3.78,4.4466667,5.26,
309,2010-03-22,24,4.27,4.74375,5.23,
309,2010-03-23,24,4.53,4.710833,5,
309,2010-03-24,24,3.96,4.28375,4.58,
309,2010-03-25,24,3.83,4.35625,4.84,
309,2010-03-26,24,4.25,4.4870834,4.74,
309,2010-03-27,24,4.17,4.43625,4.77,
309,2010-03-28,24,4.45,4.7308335,5.08,
309,2010-03-29,24,4.61,5.0408335,5.54,
309,2010-03-30,24,4.82,5.415,6.13,
309,2010-03-31,24,5.15,5.66375,6.31,
309,2010-04-01,24,4.69,5.0979166,5.72,
309,2010-04-02,24,4.58,5.2854166,6.05,
309,2010-04-03,24,5.33,5.923333,6.56,
309,2010-04-04,24,5.23,6.14375,7.14,
309,2010-04-05,24,5.51,6.0283337,6.41,
309,2010-04-06,24,5.54,6.1854167,7.02,
309,2010-04-07,24,5,5.5554166,6.23,
309,2010-04-08,24,4.53,5.5825,7.12,
309,2010-04-09,24,5.1,6.27125,7.54,
309,2010-04-10,24,5.51,6.7970834,8.15,
309,2010-04-11,24,5.9,7.1295834,8.52,
309,2010-04-12,24,6.05,7.0695834,8.34,
309,2010-04-13,24,6.76,7.03,7.34,
309,2010-04-14,24,7.02,7.7504168,8.94,
309,2010-04-15,24,7.17,7.9583335,8.72,
309,2010-04-16,24,8.02,8.25125,8.54,
309,2010-04-17,24,7.82,8.50625,9.53,
309,2010-04-18,24,7.97,8.4025,8.74,
309,2010-04-19,24,8.07,8.331667,8.69,
309,2010-04-20,24,8.12,8.775,9.85,
309,2010-04-21,24,8.89,9.219167,9.68,
309,2010-04-22,24,8.49,9.02125,9.63,
309,2010-04-23,24,7.82,8.9825,10.15,
309,2010-04-24,24,8.15,9.598333,11.27,
309,2010-04-25,24,8.57,9.410417,10.1,
309,2010-04-26,24,8.07,8.709583,9.36,
309,2010-04-27,24,8.77,9.79625,11.18,
309,2010-04-28,24,9.83,10.55375,11.47,
309,2010-04-29,24,10.08,11.119583,12.53,
309,2010-04-30,24,10.47,10.79125,11.35,
309,2010-05-01,24,9.93,10.525833,11.44,
309,2010-05-02,24,9.63,10.692083,12.07,
309,2010-05-03,24,9.58,10.549167,11.57,
309,2010-05-04,24,10.32,11.379583,12.7,
309,2010-05-05,24,11.22,11.515417,11.76,
309,2010-05-06,24,10.81,11.531667,12.58,
309,2010-05-07,24,10.64,12.024167,14.05,
309,2010-05-08,24,10.54,12.3575,14.72,
309,2010-05-09,24,11.49,13.594167,16.2,
309,2010-05-10,24,12.49,13.945833,16.42,
309,2010-05-11,24,11.42,12.8429165,14.31,
309,2010-05-12,24,11.61,12.25625,12.87,
309,2010-05-13,24,11.05,12.280833,14.07,
309,2010-05-14,24,11.83,12.93375,14.17,
309,2010-05-15,24,12.51,13.03625,13.83,
309,2010-05-16,24,12.05,13.205,14.77,
309,2010-05-17,24,12.68,14.545834,16.53,
309,2010-05-18,24,14.19,15.205833,16.37,
309,2010-05-19,24,14.34,15.067917,16.13,
309,2010-05-20,24,12.97,15.2804165,17.87,
309,2010-05-21,24,13.93,14.900416,15.53,
309,2010-05-22,24,13.04,13.449583,13.88,
309,2010-05-23,24,12.7,13.153334,13.74,
309,2010-05-24,24,12,13.985416,16.15,
309,2010-05-25,24,13.31,14.614583,16.61,
309,2010-05-26,24,12.65,15.802083,19.2,
309,2010-05-27,24,14.46,17.589582,20.75,
309,2010-05-28,24,15.29,18.455,22.03,
309,2010-05-29,24,16.25,17.883333,20.22,
309,2010-05-30,24,15.44,16.469584,18.46,
309,2010-05-31,24,14.39,16.20625,18.46,
309,2010-06-01,24,14.89,16.09375,17.34,
309,2010-06-02,24,13.86,15.187917,16.18,
309,2010-06-03,24,12.68,14.54,17.7,
309,2010-06-04,24,13.11,14.9625,16.89,
309,2010-06-05,24,14,15.231667,17.11,
309,2010-06-06,24,12.97,16.38875,20.65,
309,2010-06-07,24,15.01,17.348751,20.91,
309,2010-06-08,24,14.43,17.082083,20.56,
309,2010-06-09,24,14.7,16.539583,19.94,
309,2010-06-10,24,14.1,15.330833,17.82,
309,2010-06-11,24,13.16,13.702084,14.24,
309,2010-06-12,24,12.41,12.88875,13.28,
309,2010-06-13,24,12.49,13.33875,14.41,
309,2010-06-14,24,12.8,13.32875,13.98,
309,2010-06-15,24,12.82,13.222917,13.76,
309,2010-06-16,24,12.87,13.4875,14.34,
309,2010-06-17,24,13.33,13.723333,14.24,
309,2010-06-18,24,13.45,13.830833,14.31,
309,2010-06-19,24,13.52,14.940416,16.99,
309,2010-06-20,24,14.91,15.28875,15.65,
309,2010-06-21,24,14.65,14.959167,15.65,
309,2010-06-22,24,14.03,14.20375,14.48,
309,2010-06-23,24,13.81,14.0616665,14.27,
309,2010-06-24,24,13.95,14.21,14.55,
309,2010-06-25,23,14.1,14.366087,14.77,
309,2010-06-26,24,14.07,14.360833,14.82,
309,2010-06-27,24,13.71,14.43125,15.41,
309,2010-06-28,24,14.1,14.89125,16.01,
309,2010-06-29,24,14.72,15.11625,15.72,
309,2010-06-30,24,14.05,14.445833,14.96,
309,2010-07-01,24,13.83,14.140833,14.63,
309,2010-07-02,24,13.98,14.57375,15.34,
309,2010-07-03,24,14.41,14.63375,14.91,
309,2010-07-04,24,13.83,14.1,14.36,
309,2010-07-05,24,13.52,13.64,13.79,
309,2010-07-06,24,13.57,13.786667,14.05,
309,2010-07-07,24,13.88,14.7525,15.8,
309,2010-07-08,24,15.46,16.060417,16.94,
309,2010-07-09,24,16.32,16.688334,17.03,
309,2010-07-10,24,15.99,16.46625,16.73,
309,2010-07-11,24,15.03,15.370833,15.89,
309,2010-07-12,24,14.48,14.875,15.37,
309,2010-07-13,24,15.01,15.109584,15.2,
309,2010-07-14,24,14.53,14.705,15.01,
309,2010-07-15,24,14.27,14.704166,15.22,
309,2010-07-16,24,14.65,14.777083,14.98,
309,2010-07-17,24,14.41,14.674583,15.03,
309,2010-07-18,24,14.41,14.673333,14.98,
309,2010-07-19,24,14.41,14.889584,15.41,
309,2010-07-20,24,14.67,15.035833,15.39,
309,2010-07-21,24,14.86,15.0945835,15.41,
309,2010-07-22,24,14.7,15.317917,15.99,
309,2010-07-23,24,14.77,15.14625,15.51,
309,2010-07-24,24,14.46,14.679584,14.98,
309,2010-07-25,24,14.19,14.416667,14.67,
309,2010-07-26,24,14.17,15.012083,15.94,
309,2010-07-27,24,15.58,15.98625,16.56,
309,2010-07-28,24,15.77,16.31,16.99,
309,2010-07-29,24,16.01,16.567501,17.39,
309,2010-07-30,24,16.08,17.016666,18.15,
309,2010-07-31,24,16.68,17.095,17.3,
309,2010-08-01,24,16.37,16.482916,16.63,
309,2010-08-02,24,16.01,16.287083,16.7,
309,2010-08-03,24,15.92,16.30875,16.87,
309,2010-08-04,24,16.15,16.801666,17.65,
309,2010-08-05,24,16.82,17.04625,17.18,
309,2010-08-06,24,16.44,16.880833,17.42,
309,2010-08-07,24,16.37,16.639166,16.96,
309,2010-08-08,24,16.2,16.356667,16.63,
309,2010-08-09,24,15.92,16.04875,16.18,
309,2010-08-10,24,15.72,15.870833,16.03,
309,2010-08-11,24,15.61,15.8975,16.25,
309,2010-08-12,24,15.72,16.390833,17.01,
309,2010-08-13,24,16.68,16.969166,17.32,
309,2010-08-14,24,16.84,17.6925,18.84,
309,2010-08-15,24,17.18,18.312916,19.58,
309,2010-08-16,24,17.72,18.15625,18.51,
309,2010-08-17,24,16.84,17.287916,17.65,
309,2010-08-18,24,16.08,16.392918,16.8,
309,2010-08-19,24,15.65,16.066668,16.51,
309,2010-08-20,24,15.99,16.360416,16.94,
309,2010-08-21,24,15.89,16.2025,16.53,
309,2010-08-22,24,15.72,16.005,16.32,
309,2010-08-23,24,15.1,15.377916,15.84,
309,2010-08-24,24,14.82,15.130417,15.49,
309,2010-08-25,24,14.82,15.290833,15.89,
309,2010-08-26,24,15.27,15.569166,15.87,
309,2010-08-27,24,15.32,15.607083,15.96,
309,2010-08-28,24,15.15,15.415,15.68,
309,2010-08-29,24,15.01,15.545417,16.3,
309,2010-08-30,24,15.41,15.604584,15.89,
309,2010-08-31,24,15.03,15.455,15.96,
309,2010-09-01,24,15.18,15.40125,15.65,
309,2010-09-02,24,14.63,15.05,15.51,
309,2010-09-03,24,14.29,14.765833,15.25,
309,2010-09-04,24,14.43,14.873333,15.32,
309,2010-09-05,24,14.36,14.623333,15.01,
309,2010-09-06,24,13.93,14.4925,15.08,
309,2010-09-07,24,14.15,14.89125,15.61,
309,2010-09-08,24,14.94,15.100833,15.25,
309,2010-09-09,24,14.67,14.8125,15.01,
309,2010-09-10,24,14.19,14.649167,15.13,
309,2010-09-11,24,13.67,14.27875,14.91,
309,2010-09-12,24,13.64,14.512917,15.65,
309,2010-09-13,24,13.69,14.397083,15.13,
309,2010-09-14,24,13.47,14.35375,15.51,
309,2010-09-15,24,13.4,14.284166,15.39,
309,2010-09-16,24,13.09,14.135,15.44,
309,2010-09-17,24,12.94,13.953333,15.1,
309,2010-09-18,24,13.5,14.255,15.25,
309,2010-09-19,24,12.82,13.419167,14,
309,2010-09-20,24,12.05,12.86875,13.83,
309,2010-09-21,24,11.15,12.184167,13.28,
309,2010-09-22,24,10.3,11.632916,12.75,
309,2010-09-23,24,10.98,11.644167,12.7,
309,2010-09-24,24,11.13,11.370417,11.57,
309,2010-09-25,24,11.01,11.20125,11.47,
309,2010-09-26,24,11.01,11.31125,11.66,
309,2010-09-27,24,11.22,11.375417,11.49,
309,2010-09-28,24,11.27,11.385834,11.47,
309,2010-09-29,24,11.18,11.339583,11.61,
309,2010-09-30,24,11.01,11.174167,11.3,
309,2010-10-01,24,10.81,11.04,11.37,
309,2010-10-02,24,10.1,10.58,10.93,
309,2010-10-03,24,9.71,10.015,10.42,
309,2010-10-04,24,9.34,9.575833,9.93,
309,2010-10-05,24,9.21,9.40625,9.63,
309,2010-10-06,24,9.46,9.632083,9.88,
309,2010-10-07,24,9.09,9.350833,9.58,
309,2010-10-08,24,9.06,9.340834,9.85,
309,2010-10-09,24,8.97,9.128333,9.26,
309,2010-10-10,24,9.11,9.195833,9.34,
309,2010-10-11,24,8.82,8.945416,9.06,
309,2010-10-12,24,8.3,8.5320835,8.87,
309,2010-10-13,24,8.2,8.31,8.42,
309,2010-10-14,24,8.15,8.213333,8.32,
309,2010-10-15,24,7.82,7.93875,8.15,
309,2010-10-16,24,7.77,7.949167,8.17,
309,2010-10-17,24,8.07,8.145416,8.3,
309,2010-10-18,24,8.05,8.172916,8.32,
309,2010-10-19,24,7.72,7.8658333,8.02,
309,2010-10-20,24,7.52,7.721667,7.87,
309,2010-10-21,24,7.22,7.5025,7.65,
309,2010-10-22,24,6.64,6.8216667,7.14,
309,2010-10-23,24,6.48,6.6295834,6.84,
309,2010-10-24,24,6.18,6.4645834,6.69,
309,2010-10-25,24,6.36,6.559167,6.79,
309,2010-10-26,24,6.15,6.477083,6.71,
309,2010-10-27,24,5.57,5.88,6.13,
309,2010-10-28,24,5.49,5.63625,5.77,
309,2010-10-29,24,5.57,5.68,5.82,
309,2010-10-30,24,5.51,5.68125,5.85,
309,2010-10-31,24,5.23,5.4679165,5.67,
309,2010-11-01,24,5.23,5.4233336,5.69,
309,2010-11-02,24,5.75,6.4016666,6.74,
309,2010-11-03,24,6.51,6.6754165,6.89,
309,2010-11-04,24,6.69,6.90375,6.97,
309,2010-11-05,24,6.15,6.315,6.66,
309,2010-11-06,24,5.82,5.9554167,6.1,
309,2010-11-07,25,5.77,5.822,5.9,
309,2010-11-08,24,5.21,5.5416665,5.77,
309,2010-11-09,13,4.82,4.9707694,5.18,
309,2011-06-26,11,17.34,19.335455,20.51,
309,2011-06-27,24,15.77,17.732082,20.48,
309,2011-06-28,24,15.53,16.4225,17.06,
