"year","month","average_length"
"2010","01",718
"2010","02",731.584615384615
"2010","03",748.471337579618
"2010","04",729.62389380531
"2010","05",757.94315245478
"2010","06",723.04003202562
"2010","07",727.572093023256
"2010","08",716.548795944233
"2010","10",712.703488372093
"2010","11",690.106741573034
"2010","12",695.652173913043
"2011","01",699.568965517241
"2011","02",730.08
"2011","03",739.68023255814
"2011","04",721.548913043478
"2011","05",763.912832929782
"2011","06",708.077558804831
"2011","07",716.422273781903
"2011","08",704.560344827586
"2011","10",681.712574850299
"2011","11",684.340277777778
"2011","12",698.275862068965
"2012","01",747.1875
"2012","02",731.278195488722
"2012","03",731.544502617801
"2012","04",720.411764705882
"2012","05",753.562429696288
"2012","06",702.839024390244
"2012","07",701.596336070752
"2012","08",695.00956937799
"2012","09",736.756756756757
"2012","10",686.815068493151
"2012","11",685
"2012","12",695
"2013","01",732.5
"2013","02",727.666666666667
"2013","03",739.473684210526
"2013","04",734.333333333333
"2013","05",710.174418604651
"2013","06",715.447342026078
"2013","07",704.767096134787
"2013","08",578.166666666667
"2013","10",704.583333333333
"2013","11",690.138888888889
"2013","12",NA
"2014","01",714.007092198582
"2014","02",706.898734177215
"2014","03",720.368421052632
"2014","04",712.961325966851
"2014","05",760.885714285714
"2014","06",659.811079545455
"2014","07",635.613163481953
"2014","08",682.204963235294
"2014","10",691.343537414966
"2014","11",694.415584415584
"2014","12",733.333333333333
"2015","01",718.012820512821
"2015","02",730.570652173913
"2015","03",739.301948051948
"2015","04",764.72602739726
"2015","05",743.692307692308
"2015","06",632.623432601881
"2015","07",658.532309660908
"2015","08",573.489010989011
"2015","10",691.096654275093
"2015","11",681.202090592334
"2016","01",700.431693989071
"2016","02",708.503521126761
"2016","03",708.409090909091
"2016","04",719.143540669856
"2016","05",726.042585551331
"2016","06",692.674740484429
"2016","07",685.293132328308
"2016","08",693.730565371025
"2016","09",691.423220973783
"2016","10",692.577777777778
"2016","11",696.173469387755
"2016","12",704.555555555556
"2017","01",715.588235294118
"2017","02",725.192307692308
"2017","03",722.56
