"sampleDate","Length..mm.","Species"
"2010-05-14",875,"chinook"
"2010-05-14",780,"chinook"
"2010-05-14",630,"chinook"
"2010-05-14",800,"chinook"
"2010-05-18",730,"chinook"
"2010-05-18",685,"chinook"
"2010-05-18",685,"chinook"
"2010-05-18",730,"chinook"
"2010-06-25",690,"chinook"
"2010-05-26",780,"chinook"
"2010-05-03",790,"chinook"
"2010-05-03",700,"chinook"
"2010-05-03",760,"chinook"
"2010-05-03",850,"chinook"
"2010-05-06",785,"chinook"
"2010-05-06",740,"chinook"
"2010-05-06",870,"chinook"
"2010-05-06",865,"chinook"
"2010-05-06",620,"chinook"
"2010-05-06",680,"chinook"
"2010-05-06",710,"chinook"
"2010-05-06",800,"chinook"
"2010-05-06",705,"chinook"
"2010-05-07",920,"chinook"
"2010-05-07",685,"chinook"
"2010-05-09",760,"chinook"
"2010-05-09",720,"chinook"
"2010-05-09",750,"chinook"
"2010-05-11",765,"chinook"
"2010-05-11",770,"chinook"
"2010-05-11",750,"chinook"
"2010-05-11",645,"chinook"
"2010-05-11",715,"chinook"
"2010-05-11",850,"chinook"
"2010-05-11",805,"chinook"
"2010-05-11",820,"chinook"
"2010-05-11",730,"chinook"
"2010-05-14",755,"chinook"
"2010-05-14",745,"chinook"
"2010-06-23",735,"chinook"
"2010-06-23",730,"chinook"
"2010-06-23",625,"chinook"
"2010-06-23",770,"chinook"
"2010-06-23",735,"chinook"
"2010-06-24",680,"chinook"
"2010-06-24",775,"chinook"
"2010-06-24",720,"chinook"
"2010-06-13",710,"chinook"
"2010-06-13",835,"chinook"
"2010-06-13",635,"chinook"
"2010-06-14",620,"chinook"
"2010-06-14",650,"chinook"
"2010-06-14",605,"chinook"
"2010-06-14",610,"chinook"
"2010-06-14",620,"chinook"
"2010-06-14",615,"chinook"
"2010-06-15",820,"chinook"
"2010-06-15",635,"chinook"
"2010-06-15",700,"chinook"
"2010-06-15",605,"chinook"
"2010-06-15",640,"chinook"
"2010-06-15",710,"chinook"
"2010-06-15",630,"chinook"
"2010-06-15",730,"chinook"
"2010-06-15",800,"chinook"
"2010-06-15",800,"chinook"
"2010-06-15",700,"chinook"
"2010-06-15",780,"chinook"
"2010-06-15",695,"chinook"
"2010-06-15",650,"chinook"
"2010-06-15",735,"chinook"
"2010-06-15",710,"chinook"
"2010-06-15",620,"chinook"
"2010-06-15",715,"chinook"
"2010-06-15",755,"chinook"
"2010-06-15",700,"chinook"
"2010-06-16",680,"chinook"
"2010-06-16",765,"chinook"
"2010-06-16",800,"chinook"
"2010-06-16",770,"chinook"
"2010-06-16",715,"chinook"
"2010-06-16",750,"chinook"
"2010-06-16",730,"chinook"
"2010-06-16",720,"chinook"
"2010-06-16",730,"chinook"
"2010-06-16",785,"chinook"
"2010-06-16",695,"chinook"
"2010-06-16",615,"chinook"
"2010-06-16",660,"chinook"
