"station","year","annual_mean_T"
"afognak","2010",8.39031309569231
"afognak","2011",6.31154680764329
"afognak","2012",6.8363081476415
"afognak","2013",9.74435195
"afognak","2014",8.15538461883621
"afognak","2015",9.7908593815625
"afognak","2016",8.53008367592186
"afognak","2017",6.33637428481923
"buskin","2010",4.34422056874697
"buskin","2011",2.33832145478788
"buskin","2012",4.42341573711421
"buskin","2013",6.24180461528037
"buskin","2014",8.83136957442922
"buskin","2015",7.28883201774925
"buskin","2016",9.21706394938851
"buskin","2017",6.13234010029717
"klag","2010",9.75646151798722
"klag","2011",9.71312117164021
"klag","2012",8.04265566689181
"klag","2013",8.76220671723288
"klag","2014",9.11713483890411
"klag","2015",9.10343527542466
"klag","2016",10.8974965733068
"klag","2017",12.9657420434211
"neva","2010",8.32289974342466
"neva","2011",7.42639809372603
"neva","2012",7.66409254988281
"neva","2013",8.31305586131507
"neva","2014",8.01800772013699
"neva","2015",9.03581494027397
"neva","2016",9.29522881338798
"neva","2017",7.73833862153425
