station,year,annual_seasonal,juvenile_productivity
afognak,2010,12.012284148709657,12.42473
buskin,2010,8.59622418753361,12.42473
klag,2010,14.686763128279601,12.42473
neva,2010,14.24629978860214,12.42473
afognak,2011,12.022899799247286,22.27462
buskin,2011,6.105273105342739,22.27462
klag,2011,15.25665493198925,22.27462
neva,2011,13.5414794,22.27462
afognak,2012,11.63351441139784,11.20301
buskin,2012,8.523326887010754,11.20301
klag,2012,13.530173731505393,11.20301
neva,2012,12.714703197693044,11.20301
afognak,2013,13.209433607499232,40.05201
buskin,2013,9.43195474550538,40.05201
klag,2013,15.57349030731182,40.05201
neva,2013,15.075284739462358,40.05201
afognak,2014,14.48062397251345,30.58975
buskin,2014,11.53370384391396,30.58975
klag,2014,15.38707553666666,30.58975
neva,2014,14.24406214548388,30.58975
afognak,2015,14.714178526082,31.79726
buskin,2015,11.455321581032262,31.79726
klag,2015,15.18273327258064,31.79726
neva,2015,15.27970061774194,31.79726
afognak,2016,14.7903154788172,17.12519
buskin,2016,12.243426010307221,17.12519
klag,2016,15.920411478233481,17.12519
neva,2016,15.510096219569899,17.12519
afognak,2017,12.516309050967747,11.74963
buskin,2017,9.839588985483882,11.74963
klag,2017,14.40574910061095,11.74963
neva,2017,13.80769663225808,11.74963
