"station","date","mean_temp_c","yearmonth"
"afognak",2008-09-01,12.943125,2008-09-01
"afognak",2008-09-02,12.902083,2008-09-01
"afognak",2008-09-03,12.97125,2008-09-01
"afognak",2008-09-04,13.1825,2008-09-01
"afognak",2008-09-05,13.320833,2008-09-01
"afognak",2008-09-06,12.820416,2008-09-01
"afognak",2008-09-07,12.992917,2008-09-01
"afognak",2008-09-08,12.862083,2008-09-01
"afognak",2008-09-09,12.76875,2008-09-01
"afognak",2008-09-10,12.6875,2008-09-01
"afognak",2008-09-11,12.605416,2008-09-01
"afognak",2008-09-12,12.483334,2008-09-01
"afognak",2008-09-13,12.169583,2008-09-01
"afognak",2008-09-14,12.10625,2008-09-01
"afognak",2008-09-15,12.21375,2008-09-01
"afognak",2008-09-16,12.174167,2008-09-01
"afognak",2008-09-17,11.63125,2008-09-01
"afognak",2008-09-18,11.535417,2008-09-01
"afognak",2008-09-19,11.647083,2008-09-01
"afognak",2008-09-20,11.44625,2008-09-01
"afognak",2008-09-21,11.4825,2008-09-01
"afognak",2008-09-22,11.21,2008-09-01
"afognak",2008-09-23,11.45,2008-09-01
"afognak",2008-09-24,11.37375,2008-09-01
"afognak",2008-09-25,11.335417,2008-09-01
"afognak",2008-09-26,11.1570835,2008-09-01
"afognak",2008-09-27,10.8925,2008-09-01
"afognak",2008-09-28,10.77125,2008-09-01
"afognak",2008-09-29,10.66125,2008-09-01
"afognak",2008-09-30,10.23875,2008-09-01
"afognak",2008-10-01,9.854584,2008-10-01
"afognak",2008-10-02,9.798333,2008-10-01
"afognak",2008-10-03,9.052083,2008-10-01
"afognak",2008-10-04,8.752083,2008-10-01
"afognak",2008-10-05,8.200417,2008-10-01
"afognak",2008-10-06,7.64625,2008-10-01
"afognak",2008-10-07,7.3708334,2008-10-01
"afognak",2008-10-08,6.6441665,2008-10-01
"afognak",2008-10-09,7.05,2008-10-01
"afognak",2008-10-10,7.5933332,2008-10-01
"afognak",2008-10-11,7.74375,2008-10-01
"afognak",2008-10-12,6.0804167,2008-10-01
"afognak",2008-10-13,5.515,2008-10-01
"afognak",2008-10-14,6.07875,2008-10-01
"afognak",2008-10-15,6.0825,2008-10-01
"afognak",2008-10-16,5.8054166,2008-10-01
"afognak",2008-10-17,5.4875,2008-10-01
"afognak",2008-10-18,6.0095835,2008-10-01
"afognak",2008-10-19,5.8216667,2008-10-01
"afognak",2008-10-20,5.8675,2008-10-01
"afognak",2008-10-21,5.1916666,2008-10-01
"afognak",2008-10-22,4.3025,2008-10-01
"afognak",2008-10-23,3.9933333,2008-10-01
"afognak",2008-10-24,2.2970834,2008-10-01
"afognak",2008-10-25,2.7829165,2008-10-01
"afognak",2008-10-26,2.805,2008-10-01
"afognak",2008-10-27,1.9283333,2008-10-01
"afognak",2008-10-28,1.6383333,2008-10-01
"afognak",2008-10-29,2.3641667,2008-10-01
"afognak",2008-10-30,2.7133334,2008-10-01
"afognak",2008-10-31,2.5445833,2008-10-01
"afognak",2008-11-01,2.895,2008-11-01
"afognak",2008-11-02,2.3856,2008-11-01
"afognak",2008-11-03,1.5858333,2008-11-01
"afognak",2008-11-04,1.44,2008-11-01
"afognak",2008-11-05,1.7116667,2008-11-01
"afognak",2008-11-06,1.7679167,2008-11-01
"afognak",2008-11-07,1.5891666,2008-11-01
"afognak",2008-11-08,1.3774999,2008-11-01
"afognak",2008-11-09,1.5958333,2008-11-01
"afognak",2008-11-10,1.78625,2008-11-01
"afognak",2008-11-11,1.8891666,2008-11-01
"afognak",2008-11-12,2.0362499,2008-11-01
"afognak",2008-11-13,1.9520833,2008-11-01
"afognak",2008-11-14,1.85625,2008-11-01
"afognak",2008-11-15,1.8008333,2008-11-01
"afognak",2008-11-16,2.01,2008-11-01
"afognak",2008-11-17,1.8745834,2008-11-01
"afognak",2008-11-18,1.71375,2008-11-01
"afognak",2008-11-19,1.62375,2008-11-01
"afognak",2008-11-20,1.40375,2008-11-01
"afognak",2008-11-21,1.3783333,2008-11-01
"afognak",2008-11-22,1.4716667,2008-11-01
"afognak",2008-11-23,1.5220833,2008-11-01
"afognak",2008-11-24,1.7520833,2008-11-01
"afognak",2008-11-25,1.3208333,2008-11-01
