"Year","Sex","Length"
"2010","M","455"
"2010","M","325"
"2010","M","365"
"2010","M","370"
"2010","M","375"
"2010","M","380"
"2010","M","385"
"2010","M","385"
"2010","M","395"
"2010","M","405"
"2010","M","410"
"2010","M","425"
"2010","M","445"
"2010","M","450"
"2010","M","450"
"2010","M","490"
"2010","M","595"
"2010","M","580"
"2010","M","650"
"2010","M","605"
"2010","M","685"
"2010","M","580"
"2010","M","585"
"2010","M","585"
"2010","M","625"
"2010","M","665"
"2010","M","465"
"2010","M","485"
"2010","M","495"
"2010","M","500"
"2010","M","505"
"2010","M","510"
"2010","M","515"
"2010","M","515"
"2010","M","520"
"2010","M","530"
"2010","M","535"
"2010","M","535"
"2010","M","540"
"2010","M","540"
"2010","M","540"
"2010","M","545"
"2010","M","550"
"2010","M","550"
"2010","M","555"
"2010","M","555"
"2010","M","555"
"2010","M","555"
"2010","M","555"
"2010","M","555"
"2010","M","555"
"2010","M","560"
"2010","M","560"
"2010","M","565"
"2010","M","565"
"2010","M","565"
"2010","M","570"
"2010","M","570"
"2010","M","575"
"2010","M","575"
"2010","M","575"
"2010","M","575"
"2010","M","580"
"2010","M","580"
"2010","M","580"
"2010","M","585"
"2010","M","585"
"2010","M","585"
"2010","M","590"
"2010","M","590"
"2010","M","590"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","595"
"2010","M","600"
"2010","M","600"
"2010","M","600"
"2010","M","600"
"2010","M","605"
"2010","M","605"
"2010","M","605"
"2010","M","605"
"2010","M","610"
"2010","M","610"
"2010","M","610"
"2010","M","615"
"2010","M","615"
"2010","M","615"
"2010","M","615"
"2010","M","615"
"2010","M","620"
"2010","M","620"
"2010","M","620"
"2010","M","620"
"2010","M","625"
"2010","M","625"
"2010","M","625"
"2010","M","625"
"2010","M","625"
"2010","M","625"
"2010","M","630"
"2010","M","630"
"2010","M","635"
"2010","M","635"
"2010","M","635"
"2010","M","635"
"2010","M","635"
"2010","M","635"
"2010","M","635"
"2010","M","640"
"2010","M","640"
"2010","M","640"
"2010","M","640"
"2010","M","640"
"2010","M","645"
"2010","M","645"
"2010","M","645"
"2010","M","645"
"2010","M","645"
"2010","M","650"
"2010","M","650"
"2010","M","655"
"2010","M","655"
"2010","F","655"
"2010","M","660"
"2010","M","660"
"2010","M","660"
"2010","M","660"
"2010","M","660"
"2010","M","665"
"2010","M","665"
"2010","M","665"
"2010","M","665"
"2010","M","670"
"2010","M","670"
"2010","M","675"
"2010","M","675"
"2010","M","675"
"2010","M","675"
"2010","M","680"
"2010","M","680"
"2010","M","685"
"2010","M","700"
"2010","M","700"
"2010","M","700"
"2010","M","700"
"2010","M","705"
"2010","M","710"
"2010","M","715"
"2010","M","720"
"2010","M","730"
"2010","M","665"
"2010","F","775"
"2010","F","775"
"2010","F","850"
"2010","M","700"
"2010","F","815"
"2010","M","780"
"2010","M","870"
"2010","F","790"
"2010","M","775"
"2010","M","840"
"2010","M","740"
"2010","M","885"
"2010","F","810"
"2010","M","775"
"2010","F","830"
"2010","F","785"
"2010","M","880"
"2010","M","845"
"2010","M","775"
"2010","F","775"
"2010","M","770"
