# AKTEMP | Alaska Stream Temperature Database
# https://aktemp.uaa.alaska.edu
#
# File Type: Continuous Timeseries Daily Values and Discrete Values
# Created: 10/25/2024 10:43 AM AKDT
#
# Suggested Citation (note: open this file in a text editor like Notepad if Excel does not display the citation correctly):
#   "Alaska Water Temperature Database (AKTEMP) (2024). Water temperature data collected by USFWS - Alaska Region Office of Subsistence Management. Retrieved from https://aktemp.uaa.alaska.edu on Oct 25, 2024."
#
# ------------------------------------------------------------------------------
# Providers Table
#
provider_code,provider_name
USFWS_AlaskaOSM,USFWS - Alaska Region Office of Subsistence Management
#
# ------------------------------------------------------------------------------
# Stations Table
#
#     station_id: Station ID
#     provider_code: Provider Code
#     code: Station Code
#     latitude: Latitude (WGS84)
#     longitude: Longitude (WGS84)
#     timezone: Local timezone
#     description: Station Description
#     waterbody_name: Waterbody name
#     waterbody_type: Waterbody type
#     placement: Placement
#     mixed: Fully mixed
#     active: Active station
#     reference: Reference URL
#     private: Private
#     series_count: Number of timeseries
#     series_start_datetime: First timeseries timestamp (local timezone)
#     series_end_datetime: Last timeseries timestamp (local timezone)
#     series_count_days: Number of days between first and last timeseries dates
#     profiles_count: Number of vertical profiles
#     profiles_start_date: First date of vertical profiles (local timezone)
#     profiles_end_date: Last date of vertical profiles (local timezone)
#
station_id,provider_code,code,latitude,longitude,timezone,description,waterbody_name,waterbody_type,placement,mixed,active,reference,private,series_count,series_start_datetime,series_end_datetime,series_count_days,profiles_count,profiles_start_date,profiles_end_date
301,USFWS_AlaskaOSM,OSM_Afognak,58.08164,-152.82883,US/Alaska,Downstream of Afognak Lake,Afognak River,STREAM,MAIN,true,false,,false,1,9/1/2008 08:00,8/15/2018 10:00,3636,0,,
#
# ------------------------------------------------------------------------------
# Timeseries Metadata
#
#     series_id: Timeseries ID
#     provider_code: Provider Code
#     station_id: Station ID
#     station_code: Station Code
#     station_timezone: Station Timezone
#     start_datetime: Start Timestamp (local timezone)
#     end_datetime: End Timestamp (local timezone)
#     interval: Interval (Continuous or Discrete)
#     frequency: Frequency (minutes)
#     depth_category: Depth category
#     depth_m: Depth (m)
#     sop_bath: Sensor checked using Pre/Post Bath according to SOP
#     accuracy: Sensor Accuracy Level (1: < 0.25 degC (best); 2: < 0.5 degC; 3: > 0.5 degC (worst))
#     reviewed: QAQC Review Complete
#
series_id,provider_code,station_id,station_code,station_timezone,start_datetime,end_datetime,interval,frequency,depth_category,depth_m,sop_bath,accuracy,reviewed
298,USFWS_AlaskaOSM,301,OSM_Afognak,US/Alaska,9/1/2008 08:00,8/15/2018 10:00,CONTINUOUS,60,,,true,1,true
#
# ------------------------------------------------------------------------------
# Continuous Timeseries Daily Values
#
#     This table contains daily statistics (min/mean/max) of observed water temperature
#     for each continuous timeseries. QAQC flags are also aggregated to daily timesteps.
#     If one or more measurements during a single day were flagged then that flag is
#     assigned to the entire day. If more than one type of flag occurred in a single day
#     then the unique flag labels are combined into a comma-separated list.
#
#     series_id: Series ID
#     date: Date (local timezone)
#     n_values: Number of measurements
#     min_temp_c: Minimum temperature (degC)
#     mean_temp_c: Mean temperature (degC)
#     max_temp_c: Maximum temperature (degC)
#     flag: QAQC flag(s)
#
series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
298,2008-09-01,16,12.32,12.943125,13.28,
298,2008-09-02,24,12.75,12.902083,13.02,
298,2008-09-03,24,12.58,12.97125,13.45,
298,2008-09-04,24,12.7,13.1825,13.83,
298,2008-09-05,24,12.87,13.320833,14.03,
298,2008-09-06,24,12.65,12.820416,13.23,
298,2008-09-07,24,12.56,12.992917,13.59,
298,2008-09-08,24,12.49,12.862083,13.31,
298,2008-09-09,24,12.44,12.76875,13.33,
298,2008-09-10,24,12.51,12.6875,12.94,
298,2008-09-11,24,12.17,12.605416,13.06,
298,2008-09-12,24,12.27,12.483334,12.73,
298,2008-09-13,24,12.03,12.169583,12.36,
298,2008-09-14,24,11.81,12.10625,12.49,
298,2008-09-15,24,12.03,12.21375,12.51,
298,2008-09-16,24,11.78,12.174167,12.7,
298,2008-09-17,24,11.3,11.63125,11.98,
298,2008-09-18,24,11.27,11.535417,11.88,
298,2008-09-19,24,11.32,11.647083,12.12,
298,2008-09-20,24,11.15,11.44625,11.69,
298,2008-09-21,24,11.15,11.4825,11.98,
298,2008-09-22,24,10.49,11.21,11.86,
298,2008-09-23,24,11.2,11.45,11.83,
298,2008-09-24,24,11.08,11.37375,11.81,
298,2008-09-25,24,11.13,11.335417,11.71,
298,2008-09-26,24,10.88,11.1570835,11.35,
298,2008-09-27,24,10.37,10.8925,11.47,
298,2008-09-28,24,10.1,10.77125,11.64,
298,2008-09-29,24,10.17,10.66125,11.15,
298,2008-09-30,24,9.63,10.23875,10.86,
298,2008-10-01,24,9.24,9.854584,10.59,
298,2008-10-02,24,9.19,9.798333,10.59,
298,2008-10-03,24,8.42,9.052083,9.53,
298,2008-10-04,24,8.34,8.752083,9.29,
298,2008-10-05,24,7.65,8.200417,8.64,
298,2008-10-06,24,6.76,7.64625,8.37,
298,2008-10-07,24,6.79,7.3708334,7.72,
298,2008-10-08,24,6.23,6.6441665,7.09,
298,2008-10-09,24,6.46,7.05,7.59,
298,2008-10-10,24,7.04,7.5933332,8.3,
298,2008-10-11,24,7.12,7.74375,8.59,
298,2008-10-12,24,5.26,6.0804167,7.04,
298,2008-10-13,24,5.05,5.515,6.05,
298,2008-10-14,24,5.57,6.07875,6.56,
298,2008-10-15,24,5.69,6.0825,6.81,
298,2008-10-16,24,5.28,5.8054166,6.43,
298,2008-10-17,24,4.97,5.4875,5.95,
298,2008-10-18,24,5.64,6.0095835,6.51,
298,2008-10-19,24,5.46,5.8216667,6.13,
298,2008-10-20,24,5.39,5.8675,6.38,
298,2008-10-21,24,4.84,5.1916666,5.67,
298,2008-10-22,24,3.75,4.3025,5,
298,2008-10-23,24,2.64,3.9933333,4.56,
298,2008-10-24,24,1.75,2.2970834,2.82,
298,2008-10-25,24,2.26,2.7829165,3.14,
298,2008-10-26,24,2.37,2.805,3.17,
298,2008-10-27,24,1.56,1.9283333,2.26,
298,2008-10-28,24,1.18,1.6383333,2.07,
298,2008-10-29,24,1.86,2.3641667,2.98,
298,2008-10-30,24,2.45,2.7133334,3.17,
298,2008-10-31,24,2.1,2.5445833,3.17,
298,2008-11-01,24,2.53,2.895,3.54,
298,2008-11-02,25,2.07,2.3856,2.69,
298,2008-11-03,24,1.21,1.5858333,1.99,
298,2008-11-04,24,0.93,1.44,1.99,
