# AKTEMP | Alaska Stream Temperature Database
# https://aktemp.uaa.alaska.edu
#
# File Type: Continuous Timeseries Daily Values and Discrete Values
# Created: 10/28/2024 11:34 AM AKDT
#
# Suggested Citation (note: open this file in a text editor like Notepad if Excel does not display the citation correctly):
#   "Alaska Water Temperature Database (AKTEMP) (2024). Water temperature data collected by USFWS - Alaska Region Office of Subsistence Management. Retrieved from https://aktemp.uaa.alaska.edu on Oct 28, 2024."
#
# ------------------------------------------------------------------------------
# Providers Table
#
provider_code,provider_name
USFWS_AlaskaOSM,USFWS - Alaska Region Office of Subsistence Management
#
# ------------------------------------------------------------------------------
# Stations Table
#
#     station_id: Station ID
#     provider_code: Provider Code
#     code: Station Code
#     latitude: Latitude (WGS84)
#     longitude: Longitude (WGS84)
#     timezone: Local timezone
#     description: Station Description
#     waterbody_name: Waterbody name
#     waterbody_type: Waterbody type
#     placement: Placement
#     mixed: Fully mixed
#     active: Active station
#     reference: Reference URL
#     private: Private
#     series_count: Number of timeseries
#     series_start_datetime: First timeseries timestamp (local timezone)
#     series_end_datetime: Last timeseries timestamp (local timezone)
#     series_count_days: Number of days between first and last timeseries dates
#     profiles_count: Number of vertical profiles
#     profiles_start_date: First date of vertical profiles (local timezone)
#     profiles_end_date: Last date of vertical profiles (local timezone)
#
station_id,provider_code,code,latitude,longitude,timezone,description,waterbody_name,waterbody_type,placement,mixed,active,reference,private,series_count,series_start_datetime,series_end_datetime,series_count_days,profiles_count,profiles_start_date,profiles_end_date
305,USFWS_AlaskaOSM,OSM_Buskin,57.75585,-152.5043,US/Alaska,Lake outlet stream,Buskin River,STREAM,OUTLET,true,true,,false,2,7/10/2008 18:00,11/15/2023 15:00,5606,0,,
#
# ------------------------------------------------------------------------------
# Timeseries Metadata
#
#     series_id: Timeseries ID
#     provider_code: Provider Code
#     station_id: Station ID
#     station_code: Station Code
#     station_timezone: Station Timezone
#     start_datetime: Start Timestamp (local timezone)
#     end_datetime: End Timestamp (local timezone)
#     interval: Interval (Continuous or Discrete)
#     frequency: Frequency (minutes)
#     depth_category: Depth category
#     depth_m: Depth (m)
#     sop_bath: Sensor checked using Pre/Post Bath according to SOP
#     accuracy: Sensor Accuracy Level (1: < 0.25 degC (best); 2: < 0.5 degC; 3: > 0.5 degC (worst))
#     reviewed: QAQC Review Complete
#
series_id,provider_code,station_id,station_code,station_timezone,start_datetime,end_datetime,interval,frequency,depth_category,depth_m,sop_bath,accuracy,reviewed
302,USFWS_AlaskaOSM,305,OSM_Buskin,US/Alaska,7/10/2008 18:00,9/29/2019 10:00,CONTINUOUS,60,,,true,1,true
#
# ------------------------------------------------------------------------------
# Continuous Timeseries Daily Values
#
#     This table contains daily statistics (min/mean/max) of observed water temperature
#     for each continuous timeseries. QAQC flags are also aggregated to daily timesteps.
#     If one or more measurements during a single day were flagged then that flag is
#     assigned to the entire day. If more than one type of flag occurred in a single day
#     then the unique flag labels are combined into a comma-separated list.
#
#     series_id: Series ID
#     date: Date (local timezone)
#     n_values: Number of measurements
#     min_temp_c: Minimum temperature (degC)
#     mean_temp_c: Mean temperature (degC)
#     max_temp_c: Maximum temperature (degC)
#     flag: QAQC flag(s)
#
series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
302,2008-07-10,6,7.95,8.661667,9.46,
302,2008-07-11,24,6.81,7.87875,9.49,
302,2008-07-12,24,6.74,7.9387503,9.58,
302,2008-07-13,24,7.12,7.932083,8.82,
302,2008-07-14,24,7.47,8.323334,9.56,
302,2008-07-15,24,7.75,9.275416,11.3,
302,2008-07-16,24,7.32,8.137917,9.29,
302,2008-07-17,24,6.91,8.700417,11.18,
302,2008-07-18,24,7.37,8.605,9.68,
302,2008-07-19,24,8.17,9.63375,12.29,
302,2008-07-20,24,8.42,9.858334,11.61,
302,2008-07-21,24,8.72,9.3445835,10.03,
302,2008-07-22,24,8.47,8.944583,9.46,
302,2008-07-23,24,8.54,9.302917,10.66,
302,2008-07-24,24,7.75,8.53625,9.26,
302,2008-07-25,24,7.75,9.073334,10.93,
302,2008-07-26,24,8.72,9.359583,10.37,
302,2008-07-27,24,8.62,9.244583,10.32,
302,2008-07-28,24,8.64,10.3525,13.28,
302,2008-07-29,24,9.14,10.628333,12.61,
302,2008-07-30,24,9.44,11.4366665,14.46,
302,2008-07-31,24,10.25,11.808333,14.07,
302,2008-08-01,24,10.49,11.1075,12.2,
302,2008-08-02,24,10.35,11.162084,12.49,
302,2008-08-03,24,10.25,10.917916,11.69,
302,2008-08-04,24,10.2,10.4625,10.76,
302,2008-08-05,24,9.93,11.2,13.11,
302,2008-08-06,24,10,11.847917,14.51,
302,2008-08-07,24,10.03,12.110416,15.06,
302,2008-08-08,24,10.25,12.282917,15.15,
302,2008-08-09,24,9.53,11.772083,13.86,
302,2008-08-10,24,9.49,12.137083,15.46,
302,2008-08-11,24,10.05,12.261667,15.58,
302,2008-08-12,24,9.73,10.354167,11.47,
302,2008-08-13,24,9.49,10.0325,10.86,
302,2008-08-14,24,9.9,10.71875,11.54,
302,2008-08-15,24,10.64,11.037916,11.61,
302,2008-08-16,24,10.37,10.973333,12.15,
302,2008-08-17,24,10.35,11.1575,12.9,
302,2008-08-18,24,8.82,9.529583,10.35,
302,2008-08-19,24,9.04,9.671667,10.71,
302,2008-08-20,24,9.58,10.39375,11.54,
302,2008-08-21,24,9.93,10.72625,12.15,
302,2008-08-22,24,10.17,10.694584,11.44,
302,2008-08-23,24,10.25,10.6258335,10.93,
302,2008-08-24,24,10,11.03,12.78,
302,2008-08-25,24,10.42,11.407917,13.09,
302,2008-08-26,24,10.25,10.895,11.98,
302,2008-08-27,24,10.42,11.067083,12.44,
302,2008-08-28,24,9.36,10.98375,13.23,
302,2008-08-29,24,9.31,10.952084,13.06,
302,2008-08-30,24,9.39,10.932917,12.53,
302,2008-08-31,24,9.04,9.632083,10.79,
302,2008-09-01,24,8.82,9.318334,9.95,
302,2008-09-02,24,9.09,9.3075,9.49,
302,2008-09-03,24,8.67,9.566667,10.64,
302,2008-09-04,24,8.74,9.667084,11.05,
302,2008-09-05,24,8.87,9.892083,11.59,
302,2008-09-06,24,9.04,9.34125,9.68,
302,2008-09-07,24,9.14,9.634167,10.52,
302,2008-09-08,24,9.16,9.35625,9.81,
302,2008-09-09,24,9.21,9.72375,10.86,
302,2008-09-10,24,9.14,9.664166,10.66,
302,2008-09-11,24,8.42,9.517917,11.13,
302,2008-09-12,24,9.26,9.564584,9.95,
