# AKTEMP | Alaska Stream Temperature Database
# https://aktemp.uaa.alaska.edu
#
# File Type: Continuous Timeseries Daily Values and Discrete Values
# Created: 10/28/2024 11:40 AM AKDT
#
# Suggested Citation (note: open this file in a text editor like Notepad if Excel does not display the citation correctly):
#   "Alaska Water Temperature Database (AKTEMP) (2024). Water temperature data collected by USFWS - Alaska Region Office of Subsistence Management. Retrieved from https://aktemp.uaa.alaska.edu on Oct 28, 2024."
#
# ------------------------------------------------------------------------------
# Providers Table
#
provider_code,provider_name
USFWS_AlaskaOSM,USFWS - Alaska Region Office of Subsistence Management
#
# ------------------------------------------------------------------------------
# Stations Table
#
#     station_id: Station ID
#     provider_code: Provider Code
#     code: Station Code
#     latitude: Latitude (WGS84)
#     longitude: Longitude (WGS84)
#     timezone: Local timezone
#     description: Station Description
#     waterbody_name: Waterbody name
#     waterbody_type: Waterbody type
#     placement: Placement
#     mixed: Fully mixed
#     active: Active station
#     reference: Reference URL
#     private: Private
#     series_count: Number of timeseries
#     series_start_datetime: First timeseries timestamp (local timezone)
#     series_end_datetime: Last timeseries timestamp (local timezone)
#     series_count_days: Number of days between first and last timeseries dates
#     profiles_count: Number of vertical profiles
#     profiles_start_date: First date of vertical profiles (local timezone)
#     profiles_end_date: Last date of vertical profiles (local timezone)
#
station_id,provider_code,code,latitude,longitude,timezone,description,waterbody_name,waterbody_type,placement,mixed,active,reference,private,series_count,series_start_datetime,series_end_datetime,series_count_days,profiles_count,profiles_start_date,profiles_end_date
317,USFWS_AlaskaOSM,OSM_Neva,58.40639,-135.41156,US/Alaska,Lake outlet stream,Neva Creek,STREAM,OUTLET,true,false,,false,1,7/24/2008 16:00,9/30/2019 11:00,4085,0,,
#
# ------------------------------------------------------------------------------
# Timeseries Metadata
#
#     series_id: Timeseries ID
#     provider_code: Provider Code
#     station_id: Station ID
#     station_code: Station Code
#     station_timezone: Station Timezone
#     start_datetime: Start Timestamp (local timezone)
#     end_datetime: End Timestamp (local timezone)
#     interval: Interval (Continuous or Discrete)
#     frequency: Frequency (minutes)
#     depth_category: Depth category
#     depth_m: Depth (m)
#     sop_bath: Sensor checked using Pre/Post Bath according to SOP
#     accuracy: Sensor Accuracy Level (1: < 0.25 degC (best); 2: < 0.5 degC; 3: > 0.5 degC (worst))
#     reviewed: QAQC Review Complete
#
series_id,provider_code,station_id,station_code,station_timezone,start_datetime,end_datetime,interval,frequency,depth_category,depth_m,sop_bath,accuracy,reviewed
324,USFWS_AlaskaOSM,317,OSM_Neva,US/Alaska,7/24/2008 16:00,9/30/2019 11:00,CONTINUOUS,60,,,true,1,true
#
# ------------------------------------------------------------------------------
# Continuous Timeseries Daily Values
#
#     This table contains daily statistics (min/mean/max) of observed water temperature
#     for each continuous timeseries. QAQC flags are also aggregated to daily timesteps.
#     If one or more measurements during a single day were flagged then that flag is
#     assigned to the entire day. If more than one type of flag occurred in a single day
#     then the unique flag labels are combined into a comma-separated list.
#
#     series_id: Series ID
#     date: Date (local timezone)
#     n_values: Number of measurements
#     min_temp_c: Minimum temperature (degC)
#     mean_temp_c: Mean temperature (degC)
#     max_temp_c: Maximum temperature (degC)
#     flag: QAQC flag(s)
#
series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
324,2008-07-24,8,10.91,11.925,12.17,
324,2008-07-25,24,11.98,12.064584,12.15,
324,2008-07-26,24,11.69,12.01875,12.32,
324,2008-07-27,24,11.69,11.920417,12.29,
324,2008-07-28,24,11.42,11.650416,12.07,
324,2008-07-29,24,11.69,12.06125,12.7,
324,2008-07-30,24,12.1,13.214583,15.06,
324,2008-07-31,24,12.29,12.9625,13.43,
324,2008-08-01,24,12.39,12.742084,13.11,
324,2008-08-02,24,11.86,13.075,13.95,
324,2008-08-03,24,12.32,13.369583,13.79,
324,2008-08-04,24,12.61,13.210834,13.47,
324,2008-08-05,24,12.56,13.399167,14.19,
324,2008-08-06,24,12.75,14.0975,15.34,
324,2008-08-07,24,13.98,14.9125,16.18,
324,2008-08-08,24,14.12,14.894167,15.72,
324,2008-08-09,24,14.34,14.63625,14.94,
324,2008-08-10,24,14.34,14.61,14.82,
324,2008-08-11,24,14.31,14.603333,15.01,
324,2008-08-12,24,14.1,14.394167,14.58,
324,2008-08-13,24,13.74,13.953333,14.29,
324,2008-08-14,24,13.57,13.749583,13.93,
324,2008-08-15,24,13.83,14.223333,14.86,
324,2008-08-16,24,14.03,14.182917,14.55,
324,2008-08-17,24,13.81,14.146667,14.53,
324,2008-08-18,24,14.03,14.43875,14.82,
324,2008-08-19,24,14.29,14.775,15.63,
324,2008-08-20,24,14.51,15.570833,16.82,
324,2008-08-21,24,14.94,15.488334,16.25,
324,2008-08-22,24,13.86,14.400833,14.89,
324,2008-08-23,24,13.95,14.218333,14.51,
324,2008-08-24,24,13.83,14.074583,14.29,
324,2008-08-25,24,13.43,13.582916,13.81,
324,2008-08-26,24,13.23,13.35375,13.45,
324,2008-08-27,24,12.87,13.505417,14.39,
324,2008-08-28,24,13.5,13.615833,13.79,
324,2008-08-29,24,13.23,13.52,13.91,
324,2008-08-30,24,13.23,13.600416,13.98,
324,2008-08-31,24,12.94,13.23625,13.67,
324,2008-09-01,24,12.99,13.175834,13.45,
324,2008-09-02,24,12.82,12.9775,13.16,
324,2008-09-03,24,12.8,12.92,12.99,
324,2008-09-04,24,12.75,12.855416,12.97,
324,2008-09-05,24,12.78,13.062083,13.52,
324,2008-09-06,24,12.8,13.087084,13.43,
324,2008-09-07,24,12.9,12.976666,13.11,
324,2008-09-08,24,12.56,12.700833,12.87,
324,2008-09-09,24,12.41,12.490833,12.58,
324,2008-09-10,24,12.22,12.30625,12.41,
324,2008-09-11,24,12.03,12.132916,12.24,
324,2008-09-12,24,11.98,12.0275,12.07,
324,2008-09-13,24,11.86,11.929584,12.03,
324,2008-09-14,24,11.66,11.738333,11.86,
324,2008-09-15,24,11.59,11.847917,12.32,
324,2008-09-16,24,11.66,11.925,12.03,
324,2008-09-17,24,11.15,11.465417,11.83,
324,2008-09-18,24,11.05,11.18375,11.35,
324,2008-09-19,24,10.83,11.019584,11.15,
324,2008-09-20,24,10.64,10.912916,11.15,
324,2008-09-21,24,10.61,10.840834,11.18,
324,2008-09-22,24,10.37,10.539583,10.76,
324,2008-09-23,24,10.25,10.3429165,10.42,
324,2008-09-24,24,9.81,10.089167,10.27,
324,2008-09-25,24,9.71,9.93625,10.1,
324,2008-09-26,24,9.41,9.735833,9.83,
