year,month,average_length,location
2010,1,718,kodiak
2010,2,731.5846153846154,kodiak
2010,3,748.4713375796179,kodiak
2010,4,729.6238938053098,kodiak
2010,5,757.9431524547804,kodiak
2010,6,723.0400320256205,kodiak
2010,7,727.5720930232558,kodiak
2010,8,716.5487959442332,kodiak
2010,10,712.703488372093,kodiak
2010,11,690.1067415730337,kodiak
2010,12,695.6521739130435,kodiak
2011,1,699.5689655172414,kodiak
2011,2,730.08,kodiak
2011,3,739.6802325581396,kodiak
2011,4,721.5489130434783,kodiak
2011,5,763.9128329297821,kodiak
2011,6,708.0775588048315,kodiak
2011,7,716.4222737819025,kodiak
2011,8,704.5603448275862,kodiak
2011,10,681.7125748502993,kodiak
2011,11,684.3402777777778,kodiak
2011,12,698.2758620689655,kodiak
2012,1,747.1875,kodiak
2012,2,731.2781954887218,kodiak
2012,3,731.5445026178011,kodiak
2012,4,720.4117647058823,kodiak
2012,5,753.562429696288,kodiak
2012,6,702.8390243902439,kodiak
2012,7,701.5963360707517,kodiak
2012,8,695.0095693779904,kodiak
2012,9,736.7567567567568,kodiak
2012,10,686.8150684931506,kodiak
2012,11,685,kodiak
2012,12,695,kodiak
2013,1,732.5,kodiak
2013,2,727.6666666666666,kodiak
2013,3,739.4736842105264,kodiak
2013,4,734.3333333333334,kodiak
2013,5,710.1744186046511,kodiak
2013,6,715.4473420260782,kodiak
2013,7,704.7670961347869,kodiak
2013,8,578.1666666666666,kodiak
2013,10,704.5833333333334,kodiak
2013,11,690.1388888888889,kodiak
2013,12,NA,kodiak
2014,1,714.0070921985815,kodiak
2014,2,706.8987341772151,kodiak
2014,3,720.3684210526316,kodiak
2014,4,712.9613259668508,kodiak
2014,5,760.8857142857142,kodiak
2014,6,659.8110795454545,kodiak
2014,7,635.6131634819533,kodiak
2014,8,682.2049632352941,kodiak
2014,10,691.343537414966,kodiak
2014,11,694.4155844155844,kodiak
2014,12,733.3333333333334,kodiak
2015,1,718.0128205128206,kodiak
2015,2,730.570652173913,kodiak
2015,3,739.3019480519481,kodiak
2015,4,764.7260273972603,kodiak
2015,5,743.6923076923077,kodiak
2015,6,632.6234326018808,kodiak
2015,7,658.5323096609085,kodiak
2015,8,573.489010989011,kodiak
2015,10,691.096654275093,kodiak
2015,11,681.2020905923345,kodiak
2016,1,700.431693989071,kodiak
2016,2,708.5035211267606,kodiak
2016,3,708.4090909090909,kodiak
2016,4,719.1435406698564,kodiak
2016,5,726.0425855513308,kodiak
2016,6,692.6747404844291,kodiak
2016,7,685.2931323283082,kodiak
2016,8,693.7305653710247,kodiak
2016,9,691.4232209737828,kodiak
2016,10,692.5777777777778,kodiak
2016,11,696.1734693877551,kodiak
2016,12,704.5555555555555,kodiak
2017,1,715.5882352941177,kodiak
2017,2,725.1923076923077,kodiak
2017,3,722.56,kodiak
2010,6,786,unuk
2010,7,777.9883381924199,unuk
2010,8,758.6118598382749,unuk
2011,6,773.4848484848485,unuk
2011,7,755.8563535911602,unuk
2011,8,745.9784946236559,unuk
2011,9,715.2380952380952,unuk
2012,6,785,unuk
2012,7,729.4594594594595,unuk
2012,8,692.2549019607843,unuk
2013,6,785,unuk
2013,7,665.5,unuk
2013,8,723.8965517241379,unuk
2014,6,855,unuk
2014,7,706.9135802469136,unuk
2014,8,710.8007117437722,unuk
2015,8,718.9546351084813,unuk
2016,8,709.4070080862533,unuk
2017,8,679.5555555555555,unuk
