year,month,average_length,location
2010,5,757.9431524547804,kodiak
2010,6,723.0400320256205,kodiak
2010,7,727.5720930232558,kodiak
2010,8,716.5487959442332,kodiak
2011,5,763.9128329297821,kodiak
2011,6,708.0775588048315,kodiak
2011,7,716.4222737819025,kodiak
2011,8,704.5603448275862,kodiak
2012,5,753.562429696288,kodiak
2012,6,702.8390243902439,kodiak
2012,7,701.5963360707517,kodiak
2012,8,695.0095693779904,kodiak
2012,9,736.7567567567568,kodiak
2013,5,710.1744186046511,kodiak
2013,6,715.4473420260782,kodiak
2013,7,704.7670961347869,kodiak
2013,8,578.1666666666666,kodiak
2014,5,760.8857142857142,kodiak
2014,6,659.8110795454545,kodiak
2014,7,635.6131634819533,kodiak
2014,8,682.2049632352941,kodiak
2015,5,743.6923076923077,kodiak
2015,6,632.6234326018808,kodiak
2015,7,658.5323096609085,kodiak
2015,8,573.489010989011,kodiak
2016,5,726.0425855513308,kodiak
2016,6,692.6747404844291,kodiak
2016,7,685.2931323283082,kodiak
2016,8,693.7305653710247,kodiak
2016,9,691.4232209737828,kodiak
2010,6,786,unuk
2010,7,777.9883381924199,unuk
2010,8,758.6118598382749,unuk
2011,6,773.4848484848485,unuk
2011,7,755.8563535911602,unuk
2011,8,745.9784946236559,unuk
2011,9,715.2380952380952,unuk
2012,6,785,unuk
2012,7,729.4594594594595,unuk
2012,8,692.2549019607843,unuk
2013,6,785,unuk
2013,7,665.5,unuk
2013,8,723.8965517241379,unuk
2014,6,855,unuk
2014,7,706.9135802469136,unuk
2014,8,710.8007117437722,unuk
2015,8,718.9546351084813,unuk
2016,8,709.4070080862533,unuk
2017,8,679.5555555555555,unuk
