year,month,average_length,location
2010,01,718,kodiak
2010,02,731.5846153846154,kodiak
2010,03,748.4713375796179,kodiak
2010,04,729.6238938053098,kodiak
2010,05,757.9431524547804,kodiak
2010,06,723.0400320256205,kodiak
2010,07,727.5720930232558,kodiak
2010,08,716.5487959442332,kodiak
2010,10,712.703488372093,kodiak
2010,11,690.1067415730337,kodiak
2010,12,695.6521739130435,kodiak
2011,01,699.5689655172414,kodiak
2011,02,730.08,kodiak
2011,03,739.6802325581396,kodiak
2011,04,721.5489130434783,kodiak
2011,05,763.9128329297821,kodiak
2011,06,708.0775588048315,kodiak
2011,07,716.4222737819025,kodiak
2011,08,704.5603448275862,kodiak
2011,10,681.7125748502993,kodiak
2011,11,684.3402777777778,kodiak
2011,12,698.2758620689655,kodiak
2012,01,747.1875,kodiak
2012,02,731.2781954887218,kodiak
2012,03,731.5445026178011,kodiak
2012,04,720.4117647058823,kodiak
2012,05,753.562429696288,kodiak
2012,06,702.8390243902439,kodiak
2012,07,701.5963360707517,kodiak
2012,08,695.0095693779904,kodiak
2012,09,736.7567567567568,kodiak
2012,10,686.8150684931506,kodiak
2012,11,685,kodiak
2012,12,695,kodiak
2013,01,732.5,kodiak
2013,02,727.6666666666666,kodiak
2013,03,739.4736842105264,kodiak
2013,04,734.3333333333334,kodiak
2013,05,710.1744186046511,kodiak
2013,06,715.4473420260782,kodiak
2013,07,704.7670961347869,kodiak
2013,08,578.1666666666666,kodiak
2013,10,704.5833333333334,kodiak
2013,11,690.1388888888889,kodiak
2013,12,NA,kodiak
2014,01,714.0070921985815,kodiak
2014,02,706.8987341772151,kodiak
2014,03,720.3684210526316,kodiak
2014,04,712.9613259668508,kodiak
2014,05,760.8857142857142,kodiak
2014,06,659.8110795454545,kodiak
2014,07,635.6131634819533,kodiak
2014,08,682.2049632352941,kodiak
2014,10,691.343537414966,kodiak
2014,11,694.4155844155844,kodiak
2014,12,733.3333333333334,kodiak
2015,01,718.0128205128206,kodiak
2015,02,730.570652173913,kodiak
2015,03,739.3019480519481,kodiak
2015,04,764.7260273972603,kodiak
2015,05,743.6923076923077,kodiak
2015,06,632.6234326018808,kodiak
2015,07,658.5323096609085,kodiak
2015,08,573.489010989011,kodiak
2015,10,691.096654275093,kodiak
2015,11,681.2020905923345,kodiak
2016,01,700.431693989071,kodiak
2016,02,708.5035211267606,kodiak
2016,03,708.4090909090909,kodiak
2016,04,719.1435406698564,kodiak
2016,05,726.0425855513308,kodiak
2016,06,692.6747404844291,kodiak
2016,07,685.2931323283082,kodiak
2016,08,693.7305653710247,kodiak
2016,09,691.4232209737828,kodiak
2016,10,692.5777777777778,kodiak
2016,11,696.1734693877551,kodiak
2016,12,704.5555555555555,kodiak
2017,01,715.5882352941177,kodiak
2017,02,725.1923076923077,kodiak
2017,03,722.56,kodiak
