year,month,average_length,location
2010,06,786,unuk
2010,07,777.9883381924199,unuk
2010,08,758.6118598382749,unuk
2011,06,773.4848484848485,unuk
2011,07,755.8563535911602,unuk
2011,08,745.9784946236559,unuk
2011,09,715.2380952380952,unuk
2012,06,785,unuk
2012,07,729.4594594594595,unuk
2012,08,692.2549019607843,unuk
2013,06,785,unuk
2013,07,665.5,unuk
2013,08,723.8965517241379,unuk
2014,06,855,unuk
2014,07,706.9135802469136,unuk
2014,08,710.8007117437722,unuk
2015,08,718.9546351084813,unuk
2016,08,709.4070080862533,unuk
2017,08,679.5555555555555,unuk
